better,872884,FFFFA401
good,648881,FFFFF700
bad,529789,FF07548A
right,296344,FFE97802
guilty,240423,FF004E6F
same,199726,FF017E94
well,192602,FFE6C637
sorry,187838,FF00696F
great,186335,FFFFD801
down,179024,FF18213E
comfortable,152912,FF40B6B8
sick,148432,FF2E9127
happy,143606,FFFF7F00
sad,141280,FF043F69
free,135472,FF7EC31B
alone,123109,FF595884
lost,113789,FF014872
tired,105136,FF273E67
home,100118,FF263D67
shit,98760,FF00553A
old,92047,FF352C65
confident,83247,FFFF7F00
new,81066,FF99CF15
different,78048,FFEA3137
best,76858,FFFFFF4F
blessed,76794,FF187429
lucky,74544,FFFED73C
lonely,74467,FF08468F
off,74361,FF0A3B8A
ill,73767,FF11581C
stupid,72654,FF027975
done,71729,FF1B2958
safe,68909,FF3688BA
weird,68757,FFF70059
whole,65405,FFFE992D
important,61480,FFE6AB0F
fine,59445,FF99D013
first,57791,FFFDD93B
horrible,54345,FFE4010A
wrong,53295,FF73207C
terrible,51657,FF99001E
hurt,50730,FF235C93
able,50632,FFC36619
loved,49841,FFF30172
overwhelmed,49500,FF263F67
ready,49306,FFFB9A27
big,49155,FFFF6600
worse,48777,FF243C96
empty,48684,FF3A4AA1
strong,48273,FFFFB200
uncomfortable,47896,FF1E3869
hard,47756,FF4A688C
close,47656,FF274784
special,46433,FFF30263
depressed,45955,FF283152
head,44417,FFFDD93D
alive,43612,FF64B822
compelled,43527,FF017C8C
missing,43443,FF015B5C
sure,42431,FFE49202
proud,41636,FFFFB300
normal,41124,FF084892
awful,40668,FFCB1F13
real,40088,FF41A84D
used,39068,FF552966
full,39053,FFA5238D
cold,37874,FF3FB6BA
certain,37137,FFFE9901
complete,36842,FFB2DB11
okay,36583,FFF1B62A
accomplished,35628,FFFEA53F
lazy,34419,FF4E5F7B
wanted,34291,FFE4302F
crying,34160,FF992F93
ok,33380,FFFF7F1C
both,32884,FFB2DB11
inspired,32097,FFF44387
pretty,32065,FFF44387
stuck,32005,FF0B4FA0
behind,31945,FF312675
fat,31929,FFFD0100
deep,31866,FF41B3BD
awkward,31295,FF2D6E8A
weak,31220,FF196C62
small,30253,FF28669F
warm,30179,FFFF4B02
baby,29614,FFFFA401
excited,29570,FFFE9829
stressed,29085,FF9256A0
angry,28706,FFE0192C
nice,28500,FFFD9927
true,28452,FFFFD93C
crazy,28342,FFF3026D
strange,27722,FFF30157
ashamed,27143,FF9C0047
helpless,26822,FF026874
low,26721,FF3A578F
amazing,26375,FF00734E
nervous,26367,FF28ADCE
super,25893,FF08468F
high,25599,FFB2DC10
hot,25282,FFFF1A00
huge,25194,FFE4010A
positive,25026,FF243C96
connected,24970,FF263D67
trapped,24737,FF7C5081
crappy,24453,FF00734E
closer,24429,FF99D013
man,24375,FF00744E
hungry,24293,FFF30157
needed,24233,FF273E67
beautiful,24008,FF3FB6BA
anxious,23897,FF595884
eating,23876,FF73207C
grateful,23789,FF283152
morning,23546,FF263F67
skin,23209,FF552966
shitty,22898,FF00744E
light,22792,FFE49202
relaxed,22778,FFFED73C
mean,22568,FF950125
scared,22517,FFFF7F1C
silly,22259,FF950125
frustrated,22231,FF0A3B8A
young,21954,FF00744E
knowing,21877,FF4E5F7B
walking,21828,FF196C62
exhausted,21457,FF004E6F
fortunate,20772,FF2D6E8A
dirty,20626,FF034E6D
playing,20544,FFFFFF4F
miserable,20499,FFFF7F1C
obligated,20355,FF11581C
whatever,20336,FFFF7F00
dead,20250,FFC80027
useless,20245,FF7D1842
awesome,19484,FF015B5C
human,19407,FF99D013
wonderful,19317,FF99001E
upset,19291,FFFFF700
numb,19180,FFE49202
ago,18807,FF9C0047
bored,18676,FF312675
blue,18555,FF28ADCE
found,18485,FF00553A
refreshed,18274,FFF30263
open,18274,FFFF7F00
cool,18234,FFFFFF4F
fit,18190,FF0A3B8A
dizzy,18109,FFFFF700
confused,18002,FF73207C
relieved,17696,FF18213E
secure,17690,FF00744E
broken,17603,FFE4010A
insecure,17523,FFE4010A
growing,17495,FFEA3137
sleepy,17433,FF014872
fun,17391,FF034E6D
calm,17351,FF7D1842
grown,17331,FF263D67
content,17118,FFA5238D
necessary,16962,FF00553A
happier,16951,FF18213E
disappointed,16936,FFE97802
drained,16864,FF394378
dumb,16683,FF2C558B
changed,16637,FFFE9901
embarrassed,16211,FF017E94
side,16136,FF1E3869
satisfied,16133,FF1E3869
short,16089,FF4A688C
emotional,15996,FF2D6E8A
seen,15957,FFE4302F
motivated,15944,FFFDBF2C
healthy,15925,FF73207C
missed,15527,FF08468F
perfect,15420,FF352C65
heavy,15297,FF28669F
future,15272,FFFF7F00
creative,15230,FF027975
honored,15167,FFFDD93D
worthless,15016,FF40B6B8
older,14950,FFF70059
afraid,14933,FFFDD93D
funny,14839,FF004E6F
extra,14833,FF312675
odd,14702,FFFFFF4F
personal,14678,FFFD9927
productive,14327,FFFD9927
won,14325,FF1B2958
learned,14140,FF552966
nauseous,14090,FF015B5C
weather,14050,FF3A578F
selfish,14027,FFFED73C
power,14016,FFFF7F1C
set,13974,FFFF6600
beginning,13950,FF2C558B
blah,13941,FFB2DC10
inadequate,13887,FFFFF700
wasted,13724,FF043F69
known,13649,FFFFB200
responsible,13479,FF99D013
alright,13402,FFFFFF4F
sharing,13352,FF0A3B8A
hopeless,13335,FFFF6600
gross,13324,FF015B5C
entire,13300,FF235C93
holding,13062,FF552966
ugly,13036,FF18213E
wasting,13016,FF015B5C
fast,12968,FF196C62
vulnerable,12738,FFF1B62A
beat,12668,FFE97802
uneasy,12660,FF043F69
worst,12477,FFB2DC10
nostalgic,12451,FF73207C
happening,12419,FFFF6600
spent,12230,FFF30263
late,12223,FFFB9A27
forward,12211,FF00744E
current,12003,FF7EC31B
prepared,11998,FFFE9901
whit,11939,FFFEA740
easy,11826,FF08468F
million,11775,FFF30157
changing,11659,FFC36619
jealous,11615,FF027975
disconnected,11593,FF07548A
express,11583,FF026874
failed,11571,FF950125
fresh,11570,FF11581C
wearing,11565,FFF30263
slipping,11488,FF00553A
optimistic,11477,FF73207C
pathetic,11412,FFFEA53F
cut,11308,FFFFB300
busy,11195,FFFD9927
sexy,11099,FF283152
fantastic,10992,FF2C558B
tried,10915,FF026874
sore,10869,FFF3026D
clean,10754,FF283152
standing,10707,FF7D1842
thankful,10674,FF027975
isolated,10623,FFE4010A
black,10503,FFFFF700
welcome,10446,FF00553A
waste,10417,FF1E3869
dark,10401,FF00744E
conscious,10393,FF73207C
turned,10387,FFFFFF4F
naked,10346,FF027975
possible,10287,FF73207C
mad,10279,FFF44387
negative,10269,FF026874
breaking,10197,FFFEA53F
